chapter_no,verse_no,translation
2,19,"He who thinks that the soul kills others and he who thinks that the soul is killed by others are both ignorant. Indeed the soul does not kill anyone, nor is it killed by anyone."
2,20,"The soul has no birth and never dies. Once was and will never cease to be. Atman is birthless, eternal, eternal and ageless. When the body perishes it does not perish."
2,21,"O Partha, who knows that the soul is indestructible, eternal, without birth and death, how can he kill (anyone)? How can he be the cause of death?"
2,22,"Just as a human being discards his worn-out old clothes and puts on new clothes, so the soul at the time of death leaves the old body and assumes a new body."
2,23,"This soul, weapons cannot break, fire cannot burn, water cannot destroy, wind cannot destroy."
2,24,"Spirit, unbroken and unburnt; It cannot be wetted (by water), nor can it be dried. It is eternal, all-pervading, immutable, immutable and eternal."
2,25,"Atman is immanent (unseen), unimaginable and immutable. Knowing this you should not grieve for the body."
2,26,"But even if you think that the soul undergoes repeated births and deaths, O great-armed one, you should not mourn like this."
2,27,"One who is born is bound to die, and one who dies is bound to be reborn. So do not grieve for this inevitable thing."
2,28,"O descendant of Bharata, all created beings are unmanifest before birth, unmanifest during life, and unmanifest after death. So why mourn?"
2,29,"Some see this spirit as wonderful, some describe it as wonderful, some hear that the spirit is wonderful, and others, even after hearing, do not understand anything about it."
2,30,"O Arjuna, the soul within the body is immortal; So you should not mourn for any creature."
2,31,"Further, following your Kshatriya sva-dharmam you should not waver. In fact, a Kshatriya has no other duty than to fight for the preservation of Dharma."
2,32,"O Partha, the Kshatriyas are fortunate, given the opportunity to preserve the Dharma without seeking it. It is an open door to heaven for them."
2,33,"But if you leave your self-righteousness and glory and refuse to fight this righteous war, you will surely become a sinner."
2,34,People call you a coward and a deserter. To an honorable man dishonor is worse than death.
2,35,"Great are you in the eyes of the great charioteers, who, fearing you, flee from the battlefield. You will lose their respect for you."
2,36,"Your enemies will slander you and insult you with cruel words, thereby diminishing your greatness. Ugh, is there anything more painful than this?"
2,37,"If you fight, you will die a heroic death on the battlefield and go to heaven, or you will enjoy this kingdom as a victor. Therefore, be determined, O son of Kunti, and prepare for battle."
2,38,"Take the joys and sorrows, profit and loss equally - fight as duty. By performing your duties in this way you will never feel guilty."
2,39,"So far I have explained to you Sankhya Yoga, i.e., the analytical knowledge of Atma Tattva. Now listen, O Partha, I will explain Buddhi Yoga. When you act with this awareness you will be freed from karmic bonds."
2,40,"When working with this perspective, there is no harm but opposite results. Even a little practice can save us from big dangers."
2,41,"O descendant of Kuru, those on this path are steadfast in their minds, their goal is one. But, the mind of those who are not fixed will be in the way of surroundings."
2,42,"Those of limited understanding are attracted by the seductive words of the Vedas, which refer to pretentious rituals for the attainment of the heavenly world, and think that there is nothing higher in it. They glorify those parts of the Vedas that bring them sensual pleasures and perform extravagant rituals for higher birth, wealth, sensual pleasures, access to the heavenly world, etc."
2,43,"Those of limited understanding are attracted by the seductive words of the Vedas, which refer to pretentious rituals for the attainment of the heavenly world, and think that there is nothing higher in it. They glorify those parts of the Vedas that bring them sensual pleasures and perform extravagant rituals for higher birth, wealth, sensual pleasures, access to the heavenly world, etc."
2,44,"With much attachment to worldly pleasures and pleasures, their minds become delusional and they cannot have the firm will required for success in the path of Bhagavadprapti."
2,45,"Arjuna, the Vedas explain the three-fold subjectivity of physical nature. Be thou in a state of pure spiritual knowledge beyond these trigunas. Detach from dualities, be eternally established in the Supreme Truth, and remain steadfast in the sense of self, regardless of material gains and security."
2,46,All the advantages of a small water well can naturally be obtained with a large pool of water. In this way he who knows the supreme truth and attains Bhagavat attains the goal of all the Vedas.
2,47,"You have the authority to perform the ritual duty prescribed by Shastra, but you have no right over the fruits of that karma.  Never think that you are the reason for the fruits of karma and do not be interested in doing the karmas that should be done."
2,48,"Be steadfast in the performance of your duty, O Arjuna. Such equanimity is called yoga."
2,49,"Take refuge in divine spiritual knowledge. O Arjuna, give up fruitive actions; They are of a lower order than those which keep the mind fixed in spiritual divine knowledge. Those who want to enjoy the fruits of their karma are greedy/hungry."
2,50,"One who wisely practices this Karma Shastra will renounce both the virtues and sins in this very birth. So practice yoga, which means working with skill (with right attitude)."
2,51,"The wise, possessing equanimity, have renounced mamkara-interests in the fruits of karma that bind them in the cycle of birth and death. By working with such a feeling, one attains a state of sorrowlessness."
2,52,"Only when your mind is freed from the quicksand of passion, do you feel disillusioned with what you have heard so far and what you are going to hear. (In the case of pleasures of this world)."
2,53,"When your mind is fixed on God instead of being attracted to the Vedic sections that tell the stems of Kamya Karma, then you will attain the state of complete yoga."
2,54,"Arjuna said: O Kesava, what is the disposition of one who is steady (sthitaprajna) of Bhagavat dhyasa nande?  How does an enlightened person speak? How does he sit? How does he walk?"
2,55,"Lord Palikenu said: O Partha, when one is satisfied in the knowledge of the Self, abandoning all selfish interests and sensual desires that torment the mind, that person is called Stitha Prajna."
2,56,"He who is not disturbed even in the midst of sorrows, who is born for pleasures; One who has given up anger, fear and anger is called a wise sage."
2,57,"He who is disinterested in all situations, does not rejoice in good fortune and is not depressed by hardships, is a sage of perfect knowledge."
2,58,"He who can withdraw the senses from their objects, as a tortoise withdraws its limbs into its shell, is fixed in divine spiritual knowledge."
2,59,"Even if the Sadhaka controls the senses from the objects of pleasure, the taste remains for the objects of the senses. But, when you understand the philosophy of Bhagwat, that taste also ends."
2,60,"The senses are so forceful and turbulent that they can forcibly seize the mind of even a wise and self-controlled sadhaka, O son of Kunti."
2,61,"Those who keep their senses under control and always fix their mind on Me, they are in perfect knowledge."
2,62,"Dwelling on sense objects increases lust for them. This interest gives rise to desires, and from those desires arises anger."
2,63,"Anger leads to indiscretion, which causes illusory memory. When there is amnesia, the mind perishes. When the mind perishes, man falls."
2,64,One who controls the mind and is free from mamkara-dwesha even while using sense objects/objects is eligible for the grace of God.
2,65,By Bhagwat's grace one gets the supreme peace in which all sorrows are removed. Thus the intellect of one with a happy mind is quick and fixed in God.
2,66,"One who is undisciplined and does not control the mind and senses, there is no stable intellect, no steady meditation of Bhagavat. He who never unites his mind with God has no peace. How can one who lacks peace of mind be happy?"
2,67,"Just as a strong wind pushes a boat off its course in water, it drains the mind if the mind is concentrated on any one sense."
2,68,"Therefore, O Arjuna, one with mighty arms, one who has completely restrained the senses from the senses, is steadfast in spiritual knowledge."
2,69,"What is day for all demons is the night of ignorance for the scholar, and what is night for all demons is day for the introverted sage."
2,70,"Even though many rivers are eternally converging within him, as the ocean is still/tranquil, similarly many desirable objects keep coming around him, the unmoved Yogi attains peace; A person who strives to satisfy desires does not get it."
2,71,"One who renounces all worldly desires, without greed, without sense of I/mine, without ego, such a person attains perfect tranquility."
2,72,"O Partha, what is the state of an enlightened soul, once enlightened it never again falls into delusion.  Even at the time of death, such a person who is steadfast in this wisdom, is freed from the cycle of birth and death and reaches the divine abode of that Lord."
3,1,"Arjuna said: O Janardhana, if knowledge is better than karma, then why do you want me to fight this terrible battle? My mind was bewildered by your vague instruction. Kindly instruct me that one way which will bring me the best prosperity."
3,2,"Arjuna said: O Janardhana, if knowledge is better than karma, then why do you want me to fight this terrible battle? My mind was bewildered by your vague instruction. Kindly instruct me that one way which will bring me the best prosperity."
3,3,"The Lord thus spoke: O sinless one, there are two paths to Bhagavat-prapti (enlightenment) which have been told by me earlier: the path of knowledge for those interested in meditative devotion; Karma Marga for those interested in work."
3,4,"Man cannot be freed from karmic bondage (pratikriya) without performing karmas. Also, only through external (physical) asceticism one attains Jnana Siddhi."
3,5,"No one can stop practicing karma even for a single moment. In fact, all living beings are motivated by their inherent nature (tri-gunas) to perform karma."
3,6,"Those who keep their external senses under control, but think only about the things of the senses in their minds, are self-deluders, and such people are called hypocrites."
3,7,"But, Arjuna, the Karma Yogis who control their sense organs with the mind and work without mamkara/interests with the Karmandriyas, are truly excellent."
3,8,"So you should perform the prescribed duty in accordance with the Vedas, because doing things is better than inaction (abiding).  Even maintenance of the body is not possible due to leaving out activities."
3,9,"Works should be done like a yajna, an offering to Bhagavat, or else those works will tie us in karmic bonds in this world.  Therefore, O son of Kunti, perform the duties assigned to you, without interest in their results, for the satisfaction of God."
3,10,"At the beginning of creation, Lord Brahma, who created mankind along with their duties, said, ""Prosper by performing these yajnas. These fulfill all your desires."""
3,11,Gods will be pleased by your yajnas. The mutual cooperation of Gods and humans brings prosperity to all.
3,12,"The deities, who are satisfied with the performance of yajnas, bestow all that is necessary for the maintenance of life. Those who enjoy what is given to them, without reporting it back to the gods, are thieves indeed."
3,13,The spiritual minded good men who eat only the rest of the food reported first in the Yajna will be freed from all sins. Those who cook rice for their own pleasure eat sin.
3,14,All living things live on food and food is produced by rains. By performing yajnas rain falls and by performing prescribed duties (vihita karmas) yajna is born.
3,15,"The prescribed karmas (duties) of human beings are enunciated in the Vedas, and the Vedas are revealed from the Lord Himself.  Therefore, the all-pervading Lord is always present in the yajna activities."
3,16,Those who do not fulfill their obligation in this yajna cycle prescribed by the Vedas are sinners. They live only for their sensual pleasures; So their life is wasted.
3,17,"But those who are happy in the soul, with perfect knowledge and contented in the soul, have no duty."
3,18,Such enlightened souls have nothing to gain or lose (gains and losses) from doing or not doing their duties (karmas).  There is no need for them to depend on other beings for their selfish benefit.
3,19,"So, abandon the bonds of mamkara, be disinterested and perform your tasks as a duty.  By working without interest in the fruits of karma, a human being can reach that Supreme Self."
3,20,"By performing their dharmas (prescriptive actions), people like Janaka Maharaja attained siddhi. You should also do your duty to set a good example to the world. Common people imitate what the great do. The standard they set is followed by the whole world."
3,21,"By performing their dharmas (prescriptive actions), people like Janaka Maharaja attained siddhi. You should also do your duty to set a good example to the world. Common people imitate what the great do. The standard they set is followed by the whole world."
3,22,"In these three worlds I have nothing to do, Arjuna, nothing to gain, nothing to achieve. But I will continue to do my duties."
3,23,"If I do not carefully perform my prescribed actions, O Partha, all men will follow my path in every way."
3,24,"If I do not perform my duties, all these worlds will be destroyed. I will be responsible for the chaos that will happen, and the human race will be without peace."
3,25,"Just as the ignorant perform their duties with interest in the fruits of karma, O Bharata Vamsiya, the wise should also perform their karmas (for the sake of lokahit), to guide the people aright."
3,26,"The wise should not delude the mind of the ignorant, who perform the karmas with falsakti, by encouraging them not to perform the karmas. Moreover, performing their duties in a state of enlightenment, they should also inspire the ignorant to perform prescribed rituals."
3,27,"All actions are done by the trigunas of nature. But, in ignorance, the soul, thinking that it is this body, thinks that it is the Karta (doer)."
3,28,"O great-armed Arjuna, the wise see the soul as separate from the qualities and karma. Knowing that the gunas (in the form of the senses, the mind) are moving in the gunas (in the material form of sense perception) they are not interested in them."
3,29,"Those who are deluded by the tendency of qualities, are interested in the fruits of their karma. But the wise who understand these truths should not disturb the ignorant."
3,30,"Do all activities as a sacrifice to Me and keep your meditation on Me, the Supreme Lord.  Abandoning hope, self-concern, and mental grief, fight!"
3,31,"Those who follow this teaching of mine with full attention, faith, without questioning, will be freed from karmic bonds."
3,32,"But, those who find faults in this teaching of mine, lack knowledge and discernment, neglect these doctrines and seek their own depravity."
3,33,Wise people also do things according to their nature. All living beings act according to their natural instincts. What is the point of restraining it?
3,34,"The senses naturally have raga aversions to sense objects, but should not be subdued by them, as these are obstacles and enemies to us."
3,35,"It is better to practice one's natural dharma, even if it is flawed, than to do the dharma of others well. In fact, it is good to die in the practice of self-righteousness, but to follow the path of others (doing other dharma) is dangerous."
3,36,"Arjuna said: O Vrishni Vamsiya (Sri Krishna), why is a person induced to do sinful deeds, even if unwillingly, as if taken by some force?"
3,37,"Sri Bhagavanu Palikenu: It is Kama (desires, longings) arising from Rajo guna, which further evolves into anger. Know it as the sin that destroys the world."
3,38,"As fire is covered by smoke, as a mirror is dimmed by dust, as an unborn child is enfolded by pregnancy - one's knowledge is consumed by lust (desire)."
3,39,"Even the wisdom of the wisest is overshadowed by the enemy in the form of desire, which is never satisfied and burns like fire, O son of Kunti."
3,40,"Senses, mind, intellect - these are said to be the seat of desires. By them it obscures the knowledge of the individual and deludes the living soul."
3,41,"Therefore, O great Bharata, exterminate this supremely sinful enemy, kama (desires), which in the first place brings the senses under control and destroys the knowledge."
3,42,"The senses are superior to the gross body, and the mind is superior to the senses. Higher than the mind is the intellect and higher than the intellect is the soul."
3,43,"Thus knowing that the soul is superior to the material intellect, O great-armed one, you (the senses), subdue (by the power of the soul), and slay the mighty enemy of lust."
4,1,Sri Krishna Paramatma said: I told this orthodox Yoga Shastra to Surya Bhagavan Vivasvan. He taught this to Manu and Manu to Ikshvaku.
4,2,"O vanquisher of enemies, the kings thus obtained the science of Yoga in succession. But in course of time it has disappeared (decayed) in this world."
4,3,"I am imparting to you today the same ancient supreme secret, this science of yoga. Because you are my friend and devotee, who can understand this transcendental knowledge."
4,4,"Arjuna said: You were born in what period after Vivasvana. And thou hast taught him this education in the beginning, how should I understand it?"
4,5,"Sri Bhagavan said: Both of us have passed many births. O Arjuna, thou hast forgotten them, but I remember them all, O Parantapa."
4,6,"Even though I am birthless, even though I am the Lord of all beings, and even though I am imperishable, I appear in this world by my divine power, Yogamaya."
4,7,"Whenever dharma declines or unrighteousness prevails, O Arjuna, at that time I create myself in the earth."
4,8,"I will incarnate in this world in every age to protect the righteous, exterminate the wicked, and re-establish the principles of righteousness."
4,9,"Whoever understands the divine nature of my birth and deeds, O Arjuna, they will not be born again after leaving their body, but will come to my eternal abode."
4,10,"Being free from anger-hate-anger, fully established in Me, many who have taken refuge in Me have been purified by My wisdom before and thus obtained My divine love."
4,11,"As men submit to Me, so will I respond to them. Knowing or not, all must follow my path, O Arjuna."
4,12,"Those who are desirous of success in material (worldly) karmas in this world worship the deities, because material rewards are quick."
4,13,"Based on the qualities and activities of people, four types of Vrittis Dharma have been created by Me. Even though I am the creator of this system, know Me as Akarta and Sanatana."
4,14,"Karmas do not speak to me, I am not interested in the fruits of karma either. Those who know Me in this way will not be entangled in karmic bonds."
4,15,"Knowing this truth, those who sought salvation in ancient times also practiced their karmas. So, walking in the footsteps of the ancients, you too do your duty."
4,16,"What is Karma? What is Akarma? Even the wise are at a loss to understand this. Now I will explain to you the secret of karma, by knowing which, you can free yourself from material bonds."
4,17,"Karma, Vikarma, Akarma – you must know the nature of these three – the truth about these is mysterious and difficult to understand."
4,18,"He who sees karma in akarma and akarma in karma is the true sage among human beings. They are yogis and do all their karmas, even if they continue to do all the karmas."
4,19,"Those whose all karmas are beyond the desires of material pleasures and who have burnt all their karmic tribulations in the fire of knowledge are called, by the enlightened Munas, Pandits."
4,20,"Such people, who have renounced interest/attachment to their karmic fruits, are always contented and do not depend on external material things. Whatever they do, even if they are engaged in karmas."
4,21,"One who is despondent, without feeling that nothing is mine, and whose mind is under full control of his senses, does not incur any sin, even if he continues to do karma with his body."
4,22,"Content with whatever comes naturally, free from jealousy, and unaffected by dualities such as pleasure and pain, success and failure—they perform all duties with equanimity and remain unbound by karmic consequences."
4,23,Such are freed from worldly attachments and their mind is fixed in divine spiritual knowledge. Everything they do is Yajna (offering to Bhagavat) so they are freed from all kinds of karmic reaction.
4,24,"For those who are in full Bhagavat Dhyasa, the Homa dravya is Brahman, the stream used to offer it in Yajna is Brahman, the ritual of Yajna is Brahman, and the Yajna fire is also Brahman. Those who see everything as God will attain God easily."
4,25,Some yogis worship the deities by offering material objects. Some others worship completely by offering their souls in the fire of supreme truth.
4,26,Others offer sravana and other senses in a yagna called indriyanigrahana. Others offer sound and other sense objects as burnt in the fire of sense.
4,27,"Some, inspired by wisdom, surrender all their sense activities, and even their life force, in the fire of the restrained mind."
4,28,"Some offer their wealth as a yajna, while others offer strict devotions as a yajna. Some practice the eightfold yoga practice, while others practice strict austerities and study the Vedic scriptures as a yajna to gain knowledge."
4,29,"Others offer the in-breath as a sacrifice of the out-breath; Someone else submits the in-breath to the out-breath. Some are engaged in the control of Prana Shakti and practice Pranayama with devotion to control the incoming and outgoing breaths. Still others, with reduced food, offer the breath as a sacrifice to the Prana Shakti. All those who know such a yajna are purified from their impurities by such processes."
4,30,"Others offer the in-breath as a sacrifice of the out-breath; Someone else submits the in-breath to the out-breath. Some are engaged in the control of Prana Shakti and practice Pranayama with devotion to control the incoming and outgoing breaths. Still others, with reduced food, offer the breath as a sacrifice to the Prana Shakti. All those who know such a yajna are purified from their impurities by such processes."
4,31,"Those who know the secret of Yajna, perform it, receive its immortal essence, and progress towards the Supreme Truth. O noble one of the Kuru clan, those who do not perform any kind of yajna, will not get any happiness either in this world or in the next."
4,32,All these different types of Yajnas are described in the Vedas. Know that they are derived from different types of work. It is this knowledge that negates your physical entanglement.
4,33,"O conqueror of enemies, how much better is a yajna done with knowledge than a yajna done mechanically with money. However, O Partha, all yajna karmas end in knowledge."
4,34,Join a spiritual master and learn the ultimate truth. Humbly ask Him questions and serve Him. Such a great sage can enlighten you because he himself has seen the truth.
4,35,"Following this path and enlightened by the Guru, O Arjuna, you will never again fall into lust. With this illumination of knowledge, you will realize that all living beings are parts (amsa) of God, that they reside in Me."
4,36,Even those who are considered to be the most sinful of all sinners can cross this worldly space by staying in the boat of spiritual divine knowledge.
4,37,"As a blazing fire consumes firewood, so, O Arjuna, the fire of knowledge consumes all miseries arising from material actions."
4,38,"There is nothing else in this world that the Pavitramoner can do better than divine spiritual knowledge. After attaining Antahkarana Shuddhi with long yoga practice, this knowledge is acquired in the heart of the practitioner in the order of time."
4,39,Those who have deep devotion and practice controlling their senses acquire divine spiritual knowledge. With such excellent transcendental knowledge they quickly attain eternal supreme peace.
4,40,Those who lack knowledge and faith and have a doubting nature will fall away. Those who have no faith and doubt will have no happiness in this world or in the Hereafter.
4,41,"O Arjuna, those who have renounced karma in the fire of yoga, have all their doubts cleared by knowledge, and who are in the knowledge of the self, are not bound by karma."
