chapter_no,verse_no,question_en,question_te,answer_en,answer_te
1,3,"In Chapter 1, Verse 3, who is being addressed as 'Master'?","అధ్యాయం 1, 3వ వచనంలో, 'మాస్టర్' అని ఎవరిని సంబోధిస్తున్నారు?","The 'Master' being addressed in this verse is Drona, the teacher of both the Kauravas and the Pandavas.",ఈ శ్లోకంలో సంబోధించబడుతున్న 'గురువు' కౌరవులకు మరియు పాండవులకు గురువు అయిన ద్రోణుడు.
1,3,Who is described as the talented pupil in this teaching on Behold?,ఇదిగో ఈ బోధనలో ప్రతిభావంతులైన విద్యార్థిగా ఎవరు వర్ణించబడ్డారు?,"Dhrstadyumna, the son of Drupada, is described as the talented pupil in this verse.",ద్రుపదుని కుమారుడైన దృష్టద్యుమ్నుడు ఈ శ్లోకంలో ప్రతిభావంతుడైన శిష్యుడిగా వర్ణించబడ్డాడు.
1,3,What is the significance of the 'mighty army' mentioned in the verse?,పద్యంలో పేర్కొన్న 'పరాక్రమ సైన్యం' యొక్క ప్రాముఖ్యత ఏమిటి?,"The 'mighty army' refers to the formidable military formation of the Pandavas, organized and prepared for battle by Dhrstadyumna. This highlights the strategic preparation and strength of the Pandava forces.","'పరాక్రమ సైన్యం' అనేది పాండవుల బలీయమైన సైనిక నిర్మాణాన్ని సూచిస్తుంది, దృష్టద్యుమ్నుడు యుద్ధానికి సిద్ధం చేశాడు. ఇది పాండవ దళాల వ్యూహాత్మక సన్నద్ధత మరియు బలాన్ని హైలైట్ చేస్తుంది."
1,3,Why is Dhrstadyumna's role emphasized in this teaching on Behold?,ఇదిగో అనే ఈ బోధనలో దృష్టద్యుమ్నుడి పాత్ర ఎందుకు నొక్కి చెప్పబడింది?,"Dhrstadyumna's role is emphasized to highlight his strategic acumen and capability as a leader. Despite being a student of Drona, he stands against his own teacher, showcasing the complexities of loyalty and duty in the battle.","నాయకుడిగా అతని వ్యూహాత్మక చతురత మరియు సామర్థ్యాన్ని హైలైట్ చేయడానికి దృష్టద్యుమ్నుడి పాత్ర నొక్కి చెప్పబడింది. ద్రోణుడి విద్యార్థి అయినప్పటికీ, అతను తన స్వంత గురువుకు వ్యతిరేకంగా నిలబడి, యుద్ధంలో విధేయత మరియు కర్తవ్యం యొక్క సంక్లిష్టతలను ప్రదర్శిస్తాడు."
1,3,What does the verse imply about the relationship between Drona and Dhrstadyumna?,ద్రోణుడు మరియు దృష్టద్యుమ్నుడి మధ్య ఉన్న సంబంధాన్ని శ్లోకం ఏమి సూచిస్తుంది?,"The verse implies a complex relationship where Dhrstadyumna, though a pupil of Drona, is now commanding an army against him. It underscores the theme of duty over personal ties and the inevitable conflicts that arise in war.",ద్రోణుడి శిష్యుడైన దృష్టద్యుమ్నుడు ఇప్పుడు అతనికి వ్యతిరేకంగా సైన్యానికి నాయకత్వం వహిస్తున్న సంక్లిష్ట సంబంధాన్ని ఈ పద్యం సూచిస్తుంది. ఇది వ్యక్తిగత సంబంధాలపై విధి యొక్క థీమ్ మరియు యుద్ధంలో తలెత్తే అనివార్యమైన సంఘర్షణలను నొక్కి చెబుతుంది.
1,4,who are described as mighty archers?,ఎవరు శక్తివంతమైన ఆర్చర్స్ అని వర్ణించబడ్డారు?,"In this verse, Yuyudhana, Virata, and Drupada are described as mighty archers. They are considered equal in battle to Bhima and Arjuna, highlighting their prowess and skill in warfare.","ఈ శ్లోకంలో యుయుధనుడు, విరాటుడు, ద్రుపదుడు గొప్ప విలుకాడులుగా వర్ణించబడ్డారు. వారు యుద్ధంలో భీముడు మరియు అర్జునులతో సమానంగా పరిగణించబడతారు, వారి పరాక్రమాన్ని మరియు యుద్ధంలో నైపుణ్యాన్ని ప్రస్ఫుటం చేస్తారు."
1,4,Which warriors are mentioned as maharathis in this teaching on Arjuna?,అర్జునుడిపై ఈ బోధనలో ఏ యోధులను మహారథులుగా పేర్కొన్నారు?,"The warriors mentioned as maharathis in this verse are Yuyudhana, Virata, and Drupada. Maharathi refers to a great charioteer who can fight against numerous opponents.","ఈ శ్లోకంలో మహారథులుగా పేర్కొనబడిన యోధులు యుయుధనుడు, విరాటుడు మరియు ద్రుపదుడు. మహారథి అనేక మంది ప్రత్యర్థులతో పోరాడగల గొప్ప రథసారధిని సూచిస్తుంది."
1,4,Why are Bhima and Arjuna used as a comparison for the warriors?,భీముడు మరియు అర్జునుడు యోధులను ఎందుకు పోల్చారు?,"Bhima and Arjuna are used as a benchmark for comparison because they are legendary warriors known for their exceptional strength and skill in battle. By comparing Yuyudhana, Virata, and Drupada to them, the verse emphasizes their remarkable abilities and valor.","భీముడు మరియు అర్జునుడు యుద్ధంలో అసాధారణమైన శక్తి మరియు నైపుణ్యానికి ప్రసిద్ధి చెందిన పురాణ యోధులు కాబట్టి పోలిక కోసం బెంచ్‌మార్క్‌గా ఉపయోగించబడ్డారు. యుయుధనుడు, విరాటుడు మరియు ద్రుపదుడిని వారితో పోల్చడం ద్వారా, పద్యం వారి అద్భుతమైన సామర్థ్యాలను మరియు పరాక్రమాన్ని నొక్కి చెబుతుంది."
1,4,"In Chapter 1, Verse 4, who is listing these mighty warriors?","అధ్యాయం 1, 4వ వచనంలో, ఈ శక్తివంతమైన యోధులను ఎవరు జాబితా చేస్తున్నారు?","In this verse, it is Duryodhana who is listing these mighty warriors. He is addressing his teacher, Droṇa, and highlighting the strength of his own army by mentioning these great fighters.","ఈ పద్యంలో, ఈ పరాక్రమ యోధులను జాబితా చేస్తున్నది దుర్యోధనుడు. అతను తన గురువు, ద్రోణుని ఉద్దేశించి, ఈ గొప్ప యోధుల గురించి ప్రస్తావించడం ద్వారా తన స్వంత సైన్యం యొక్క బలాన్ని ఎత్తిచూపుతున్నాడు."
1,4,"In Chapter 1, Verse 4, what does the term 'maharathis' signify in this context?","1వ అధ్యాయం, 4వ శ్లోకంలో, ఈ సందర్భంలో 'మహారతి' అనే పదం దేనిని సూచిస్తుంది?","In this context, 'maharathis' refers to warriors who are exceptionally skilled and capable of handling many opponents simultaneously. This term is used to convey the high level of expertise and valor possessed by Yuyudhana, Virata, and Drupada.","ఈ సందర్భంలో, 'మహారథీలు' అనూహ్యంగా నైపుణ్యం మరియు అనేక మంది ప్రత్యర్థులను ఏకకాలంలో నిర్వహించగల సామర్థ్యం ఉన్న యోధులను సూచిస్తుంది. యుయుధనుడు, విరాటుడు మరియు ద్రుపదుడు కలిగి ఉన్న ఉన్నత స్థాయి నైపుణ్యం మరియు పరాక్రమాన్ని తెలియజేయడానికి ఈ పదం ఉపయోగించబడుతుంది."
1,5,who are the warriors mentioned along with the king of Kasi?,కాశీ రాజుతో పాటు పేర్కొన్న యోధులు ఎవరు?,"The warriors mentioned are Dhrstaketu, Chekitana, Purujit, Kuntibhoja, and Shaibya.","పేర్కొన్న యోధులు దృష్టకేతు, చెకితన, పురుజిత్, కుంతిభోజ మరియు శైబ్య."
1,5,How is the king of Kasi described in this teaching on Dhrstaketu?,దృష్టకేతునిపై ఈ బోధనలో కాశీ రాజు ఎలా వివరించబడ్డాడు?,"The king of Kasi is described as valiant, indicating his bravery and strength in battle.","కాశీ రాజు పరాక్రమవంతుడిగా వర్ణించబడ్డాడు, ఇది యుద్ధంలో అతని శౌర్యాన్ని మరియు బలాన్ని సూచిస్తుంది."
1,5,Why might the verse emphasize the valor of the king of Kasi and others?,ఈ పద్యం కాశీ రాజు మరియు ఇతరుల పరాక్రమాన్ని ఎందుకు నొక్కి చెప్పవచ్చు?,"The emphasis on valor serves to highlight the strength and capability of the warriors assembled, underscoring the formidable nature of the army.","సైన్యం యొక్క బలీయమైన స్వభావాన్ని నొక్కిచెబుతూ, సమీకరించబడిన యోధుల బలం మరియు సామర్థ్యాన్ని హైలైట్ చేయడానికి శౌర్యానికి ప్రాధాన్యతనిస్తుంది."
1,5,"In Chapter 1, Verse 5, who is referred to as 'the best of men' in this teaching on Dhrstaketu?","1వ అధ్యాయం, 5వ శ్లోకంలో, దృష్టకేతునిపై ఈ బోధనలో 'పురుషులలో ఉత్తముడు' అని ఎవరిని పేర్కొన్నారు?","Shaibya is referred to as 'the best of men,' suggesting his distinguished character and leadership.","షైబ్యాను 'పురుషులలో ఉత్తమమైనది' అని సూచిస్తారు, ఇది అతని విశిష్టమైన పాత్ర మరియు నాయకత్వాన్ని సూచిస్తుంది."
1,5,"In Chapter 1, Verse 5, what significance do names like Dhrstaketu and Chekitana hold in the context of this teaching on Dhrstaketu?","1వ అధ్యాయం, 5వ శ్లోకంలో, దృష్టకేతునిపై ఈ బోధన సందర్భంలో దృష్టకేతు మరియు చేకితన వంటి పేర్లు ఏ ప్రాముఖ్యతను కలిగి ఉన్నాయి?","Names like Dhrstaketu and Chekitana signify the diverse and powerful allies gathered for the battle, each bringing unique strengths and valor.","దృష్టకేతు మరియు చెకితన వంటి పేర్లు యుద్ధం కోసం సేకరించిన విభిన్న మరియు శక్తివంతమైన మిత్రులను సూచిస్తాయి, ప్రతి ఒక్కటి ప్రత్యేకమైన బలాలు మరియు శౌర్యాన్ని తెస్తుంది."
1,6,"In Chapter 1, Verse 6, who are described as Maharathis?","1వ అధ్యాయం, 6వ శ్లోకంలో మహారథిలుగా ఎవరిని వర్ణించారు?","The verse describes Yudhamanyu, the mighty Uttamauja, Abhimanyu, the son of Subhadra, and the five sons of Draupadi as Maharathis. A Maharathi is a great warrior chief capable of fighting multiple opponents simultaneously.","యుధామన్యుడు, పరాక్రమవంతుడు ఉత్తమౌజుడు, అభిమన్యుడు, సుభద్ర కుమారుడు, ద్రౌపది ఐదుగురు కుమారులు మహారథులుగా ఈ పద్యం వర్ణించబడింది. ఒక మహారథి బహుళ ప్రత్యర్థులతో ఏకకాలంలో పోరాడగల గొప్ప యోధుడు."
1,6,"What does the term 'Maharathi' imply about the warriors mentioned, such as Yudhamanyu and Abhimanyu?",యుధామన్యుడు మరియు అభిమన్యు వంటి యోధుల గురించి 'మహారతి' అనే పదం ఏమి సూచిస్తుంది?,"The term 'Maharathi' implies that these warriors, including Yudhamanyu and Abhimanyu, are exceptionally skilled and powerful. It suggests they are capable of great feats in battle and hold a significant position due to their prowess and bravery.",'మహారతి' అనే పదం యుధామన్యు మరియు అభిమన్యులతో సహా ఈ యోధులు అసాధారణమైన నైపుణ్యం మరియు శక్తివంతులు అని సూచిస్తుంది. వారు యుద్ధంలో గొప్ప విజయాలు చేయగలరని మరియు వారి పరాక్రమం మరియు ధైర్యసాహసాల కారణంగా ముఖ్యమైన స్థానాన్ని కలిగి ఉన్నారని ఇది సూచిస్తుంది.
1,6,"Who is Abhimanyu, as mentioned in the verse?",పద్యంలో పేర్కొన్న అభిమన్యు ఎవరు?,"Abhimanyu is described as the son of Subhadra. He is one of the warriors listed among the Maharathis, indicating his valor and skill in battle.","అభిమన్యుడిని సుభద్ర కుమారుడిగా అభివర్ణించారు. అతను మహారథులలో జాబితా చేయబడిన యోధులలో ఒకడు, యుద్ధంలో అతని శౌర్యాన్ని మరియు నైపుణ్యాన్ని సూచిస్తుంది."
1,6,"In Chapter 1, Verse 6, why are the sons of Draupadi mentioned with great warriors like Yudhamanyu?","1వ అధ్యాయం, 6వ శ్లోకంలో, యుధామన్యుడి వంటి గొప్ప యోధులతో ద్రౌపది కుమారులు ఎందుకు ప్రస్తావించబడ్డారు?","The sons of Draupadi are mentioned alongside great warriors like Yudhamanyu to highlight their status as Maharathis. This attribution emphasizes their capabilities and importance in the battle, underscoring the strength and unity of the forces.","మహారథులుగా వారి స్థితిని హైలైట్ చేయడానికి యుధామన్యు వంటి గొప్ప యోధులతో పాటు ద్రౌపది కుమారులు ప్రస్తావించబడ్డారు. ఈ లక్షణం యుద్ధంలో వారి సామర్థ్యాలు మరియు ప్రాముఖ్యతను నొక్కి చెబుతుంది, దళాల బలం మరియు ఐక్యతను నొక్కి చెబుతుంది."
1,6,How can the concept of being a 'Maharathi' inspire personal growth in one's life?,'మహారతి' అనే భావన ఒకరి జీవితంలో వ్యక్తిగత ఎదుగుదలను ఎలా ప్రేరేపిస్తుంది?,"Being a 'Maharathi' symbolizes excellence, dedication, and the ability to face challenges with skill and courage. In life, this concept can inspire individuals to cultivate mastery in their endeavors, strive for excellence, and face difficulties with determination and bravery.","'మహారతి'గా ఉండటం శ్రేష్ఠత, అంకితభావం మరియు నైపుణ్యం మరియు ధైర్యంతో సవాళ్లను ఎదుర్కొనే సామర్థ్యాన్ని సూచిస్తుంది. జీవితంలో, ఈ భావన వ్యక్తులు తమ ప్రయత్నాలలో నైపుణ్యాన్ని పెంపొందించుకోవడానికి, శ్రేష్ఠత కోసం ప్రయత్నించడానికి మరియు సంకల్పం మరియు ధైర్యంతో ఇబ్బందులను ఎదుర్కోవటానికి ప్రేరేపించగలదు."
1,7,who is referred to as 'O best of Brahmanas'?,'ఓ బ్రాహ్మణులలో ఉత్తముడు' అని ఎవరిని పిలుస్తారు?,"In this verse, 'O best of Brahmanas' refers to Droṇa, the teacher and commander in the Kurukshetra war. Duryodhana is addressing him with respect as he begins to list the key warriors in his army.","ఈ పద్యంలో, 'ఓ బ్రాహ్మణులలో ఉత్తముడు' అనేది కురుక్షేత్ర యుద్ధంలో గురువు మరియు సేనాధిపతి అయిన ద్రోణుని సూచిస్తుంది. దుర్యోధనుడు తన సైన్యంలోని కీలక యోధుల జాబితాను ప్రారంభించినప్పుడు అతనిని గౌరవంగా సంబోధిస్తున్నాడు."
1,7,what is Duryodhana doing in this teaching on Brahmanas when he mentions 'the commanders of my army'?,దుర్యోధనుడు బ్రాహ్మణులపై ఈ బోధనలో 'నా సైన్యాధిపతుల గురించి' ప్రస్తావించినప్పుడు ఏమి చేస్తున్నాడు?,"In this verse, Duryodhana is addressing Droṇa and highlighting the prominent leaders of his army. He is about to list the key warriors to emphasize the strength and preparedness of his forces in the battle.","ఈ పద్యంలో, దుర్యోధనుడు ద్రోణుని ఉద్దేశించి, అతని సైన్యంలోని ప్రముఖ నాయకులను హైలైట్ చేస్తున్నాడు. యుద్ధంలో తన బలగాల బలం మరియు సంసిద్ధతను నొక్కి చెప్పడానికి అతను కీలక యోధులను జాబితా చేయబోతున్నాడు."
1,7,"In Chapter 1, Verse 7, who does Duryodhana refer to when he says 'the commanders of my army'?","1వ అధ్యాయం, 7వ శ్లోకంలో, దుర్యోధనుడు 'నా సైన్యాధ్యక్షులు' అని చెప్పినప్పుడు ఎవరిని సూచిస్తాడు?",Duryodhana is referring to the key leaders and distinguished warriors in his army. He is acknowledging those who hold significant command positions and are crucial to his battle strategy.,దుర్యోధనుడు తన సైన్యంలోని ముఖ్య నాయకులు మరియు విశిష్ట యోధులను సూచిస్తున్నాడు. అతను ముఖ్యమైన కమాండ్ స్థానాలను కలిగి ఉన్నవారిని మరియు అతని యుద్ధ వ్యూహానికి కీలకమైన వారిని అంగీకరిస్తున్నాడు.
1,7,Why does Duryodhana feel the need to list the 'commanders' of his army to Droṇa?,దుర్యోధనుడు ద్రోణునికి తన సైన్యానికి చెందిన 'సేనాధిపతులను' జాబితా చేయవలసిన అవసరం ఎందుకు వచ్చింది?,"Duryodhana lists the commanders to Droṇa as a strategic move to exhibit confidence and assure Droṇa of the formidable strength of his army. It is also a way to remind Droṇa of the powerful allies they have, perhaps to boost morale and affirm their readiness for battle.","దుర్యోధనుడు ద్రోణునికి సేనాధిపతులను ఒక వ్యూహాత్మక ఎత్తుగడగా పేర్కొన్నాడు మరియు ద్రోణునికి తన సైన్యం యొక్క బలీయమైన బలం గురించి భరోసా ఇచ్చాడు. ద్రోణునికి వారి వద్ద ఉన్న శక్తివంతమైన మిత్రుల గురించి గుర్తుచేయడానికి ఇది ఒక మార్గం, బహుశా ధైర్యాన్ని పెంచడానికి మరియు యుద్ధానికి వారి సంసిద్ధతను ధృవీకరించడానికి."
1,7,"In Chapter 1, Verse 7, how does the act of naming 'distinguished' warriors reflect the theme of ego and pride in the context of the Mahabharata?","అధ్యాయం 1, 7వ శ్లోకంలో, మహాభారత సందర్భంలో 'విశిష్ట' యోధుల పేరు పెట్టే చర్య అహం మరియు గర్వం యొక్క ఇతివృత్తాన్ని ఎలా ప్రతిబింబిస్తుంది?","The act of naming distinguished warriors demonstrates Duryodhana's pride in his army and his desire to showcase power. It reflects the theme of ego, as Duryodhana seeks validation and assurance in numbers and might, rather than righteousness or justice. This highlights the contrast between material strength and spiritual wisdom, a recurring theme in the Mahabharata.","విశిష్ట యోధుల పేర్లను పేర్కొనడం దుర్యోధనుడు తన సైన్యం పట్ల ఉన్న అహంకారాన్ని మరియు శక్తిని ప్రదర్శించాలనే కోరికను ప్రదర్శిస్తుంది. ఇది అహం యొక్క ఇతివృత్తాన్ని ప్రతిబింబిస్తుంది, దుర్యోధనుడు ధర్మం లేదా న్యాయం కంటే సంఖ్యలు మరియు శక్తిలో ధృవీకరణ మరియు హామీని కోరుకుంటాడు. ఇది భౌతిక బలం మరియు ఆధ్యాత్మిక జ్ఞానం మధ్య వ్యత్యాసాన్ని హైలైట్ చేస్తుంది, ఇది మహాభారతంలో పునరావృతమయ్యే అంశం."
1,8,Who are some of the key warriors mentioned alongside Bhisma in this teaching on Yourself?,మీ గురించి ఈ బోధనలో భీష్ముడితో పాటు ప్రస్తావించబడిన కొన్ని కీలక యోధులు ఎవరు?,"The key warriors mentioned alongside Bhisma in this verse are Karna, Kripa, Asvatthama, Vikarna, and Bhurisrava.","ఈ శ్లోకంలో భీష్ముడితో పాటు ప్రస్తావించబడిన ముఖ్య యోధులు కర్ణ, కృపా, అశ్వత్థామ, వికర్ణ మరియు భూరిశ్రవ."
1,8,What is the significance of Kripa being described as 'ever victorious in battle'?,కృపాను 'యుద్ధంలో ఎప్పటికీ విజేత'గా వర్ణించడం యొక్క ప్రాముఖ్యత ఏమిటి?,Kripa being described as 'ever victorious in battle' highlights his expertise and success in warfare. It emphasizes his reputation as a formidable warrior and suggests that he is a key asset to the Kaurava army. This description serves to instill confidence in their strength and capability.,కృపాను 'యుద్ధంలో ఎప్పుడూ విజేత'గా అభివర్ణించడం అతని నైపుణ్యం మరియు యుద్ధంలో విజయాన్ని హైలైట్ చేస్తుంది. ఇది బలీయమైన యోధుడిగా అతని ఖ్యాతిని నొక్కి చెబుతుంది మరియు అతను కౌరవ సైన్యానికి కీలక ఆస్తి అని సూచిస్తుంది. ఈ వివరణ వారి బలం మరియు సామర్థ్యంపై విశ్వాసాన్ని కలిగించడానికి ఉపయోగపడుతుంది.
1,8,What might be the reason for Duryodhana mentioning warriors like Asvatthama and Vikarna?,"దుర్యోధనుడు అశ్వత్థామ, వికర్ణ వంటి యోధుల గురించి ప్రస్తావించడానికి కారణం ఏమిటి?","Duryodhana mentions warriors like Asvatthama and Vikarna to emphasize the strength and diversity of his army. By naming these warriors, he reassures himself and his allies of the formidable support they have, showcasing a balanced mix of experience and youthful vigor in their ranks.","దుర్యోధనుడు తన సైన్యం యొక్క బలం మరియు వైవిధ్యాన్ని నొక్కి చెప్పడానికి అశ్వత్థామ మరియు వికర్ణ వంటి యోధులను పేర్కొన్నాడు. ఈ యోధులకు పేరు పెట్టడం ద్వారా, అతను తనకు మరియు తన మిత్రదేశాలకు వారికి ఉన్న బలీయమైన మద్దతు గురించి భరోసా ఇచ్చాడు, వారి ర్యాంకుల్లో సమతుల్యమైన అనుభవం మరియు యవ్వన శక్తిని ప్రదర్శిస్తాడు."
1,8,"In Chapter 1, Verse 8, who is the speaker addressing, and what is the purpose of this enumeration?","అధ్యాయం 1, 8వ వచనంలో, వక్త ఎవరిని సంబోధిస్తున్నాడు మరియు ఈ గణన యొక్క ఉద్దేశ్యం ఏమిటి?","In this verse, Duryodhana is addressing his teacher, Dronacharya. The purpose of enumerating these warriors is to assure Dronacharya of the powerful and skilled allies they have on their side, boosting morale and confidence in their ability to win the battle.","ఈ శ్లోకంలో దుర్యోధనుడు తన గురువు ద్రోణాచార్యుడిని ఉద్దేశించి మాట్లాడుతున్నాడు. ఈ యోధులను లెక్కించడం యొక్క ఉద్దేశ్యం ద్రోణాచార్యకు వారి వైపు ఉన్న శక్తివంతమైన మరియు నైపుణ్యం కలిగిన మిత్రుల గురించి భరోసా ఇవ్వడం, యుద్ధంలో గెలిచే వారి సామర్థ్యంపై ధైర్యాన్ని మరియు విశ్వాసాన్ని పెంచడం."
